puuid,match_id
kteXLkIClnef1TeX4vHWOBsk95iK9h-TA4soXeaxToVMv9CWIbWyoZZLpZF01xlvDZrOTKUNY1v9ag,EUW1_7812888381
kteXLkIClnef1TeX4vHWOBsk95iK9h-TA4soXeaxToVMv9CWIbWyoZZLpZF01xlvDZrOTKUNY1v9ag,EUW1_7812882191
kteXLkIClnef1TeX4vHWOBsk95iK9h-TA4soXeaxToVMv9CWIbWyoZZLpZF01xlvDZrOTKUNY1v9ag,EUW1_7812115938
kteXLkIClnef1TeX4vHWOBsk95iK9h-TA4soXeaxToVMv9CWIbWyoZZLpZF01xlvDZrOTKUNY1v9ag,EUW1_7812056314
kteXLkIClnef1TeX4vHWOBsk95iK9h-TA4soXeaxToVMv9CWIbWyoZZLpZF01xlvDZrOTKUNY1v9ag,EUW1_7812001988
kteXLkIClnef1TeX4vHWOBsk95iK9h-TA4soXeaxToVMv9CWIbWyoZZLpZF01xlvDZrOTKUNY1v9ag,EUW1_7811864102
TpnuFmp7IpW_4XT6B6bU8YKTExZcICTj0G0e2yLO_Tc2ABIxZIYAehEDoqScp-xkbgUBozEStsIyOA,EUW1_7813723724
TpnuFmp7IpW_4XT6B6bU8YKTExZcICTj0G0e2yLO_Tc2ABIxZIYAehEDoqScp-xkbgUBozEStsIyOA,EUW1_7813689305
TpnuFmp7IpW_4XT6B6bU8YKTExZcICTj0G0e2yLO_Tc2ABIxZIYAehEDoqScp-xkbgUBozEStsIyOA,EUW1_7813643950
TpnuFmp7IpW_4XT6B6bU8YKTExZcICTj0G0e2yLO_Tc2ABIxZIYAehEDoqScp-xkbgUBozEStsIyOA,EUW1_7813596925
TpnuFmp7IpW_4XT6B6bU8YKTExZcICTj0G0e2yLO_Tc2ABIxZIYAehEDoqScp-xkbgUBozEStsIyOA,EUW1_7813368326
TpnuFmp7IpW_4XT6B6bU8YKTExZcICTj0G0e2yLO_Tc2ABIxZIYAehEDoqScp-xkbgUBozEStsIyOA,EUW1_7813319735
TpnuFmp7IpW_4XT6B6bU8YKTExZcICTj0G0e2yLO_Tc2ABIxZIYAehEDoqScp-xkbgUBozEStsIyOA,EUW1_7813186457
TpnuFmp7IpW_4XT6B6bU8YKTExZcICTj0G0e2yLO_Tc2ABIxZIYAehEDoqScp-xkbgUBozEStsIyOA,EUW1_7813137648
TpnuFmp7IpW_4XT6B6bU8YKTExZcICTj0G0e2yLO_Tc2ABIxZIYAehEDoqScp-xkbgUBozEStsIyOA,EUW1_7813112571
TpnuFmp7IpW_4XT6B6bU8YKTExZcICTj0G0e2yLO_Tc2ABIxZIYAehEDoqScp-xkbgUBozEStsIyOA,EUW1_7812808990
-wOrJ0epX6d0-CLuXUqrsJfEhwW6GUjdQ-hJ1QIXnX8rr8hNeGuyRksBk3vMpwJzvG9W3kZFpG7c4w,EUW1_7813785027
